Year,Month,State,Thousand Dollars,Megawatthours,Cents/kWh,mkwh,Year_Month
2001,5,AR,46626,716225,6.51,716.0,2001.5
2001,5,AZ,147565,1909374,7.73,1909.0,2001.5
2001,5,CA,775684,7854152,9.88,7854.0,2001.5
2001,5,CO,83674,1415963,5.91,1416.0,2001.5
2001,5,CT,96892,1025117,9.45,1025.0,2001.5
2001,5,DC,49759,653486,7.61,653.0,2001.5
2001,5,DE,18948,277719,6.82,278.0,2001.5
2001,5,FL,435641,5870864,7.42,5871.0,2001.5
2001,5,GA,209512,3156004,6.64,3156.0,2001.5
2001,5,HI,38636,261753,14.76,262.0,2001.5
2001,5,IA,48399,676980,7.15,677.0,2001.5
2001,5,ID,31512,595800,5.29,596.0,2001.5
2001,5,IL,266969,3619727,7.38,3620.0,2001.5
2001,5,IN,110108,2048236,5.38,2048.0,2001.5
2001,5,KS,60644,960418,6.31,960.0,2001.5
2001,5,KY,61494,1166409,5.27,1166.0,2001.5
2001,5,LA,113770,1439636,7.9,1440.0,2001.5
2001,5,MA,227529,1962126,11.6,1962.0,2001.5
2001,5,MD,139156,2149443,6.47,2149.0,2001.5
2001,5,ME,32894,365559,9.0,366.0,2001.5
2001,5,MI,216186,2840393,7.61,2840.0,2001.5
2001,5,MN,98667,1529852,6.45,1530.0,2001.5
2001,5,MO,128960,2127889,6.06,2128.0,2001.5
2001,5,MS,66429,920932,7.21,921.0,2001.5
2001,5,MT,17753,292482,6.07,292.0,2001.5
2001,5,NC,189409,2986281,6.34,2986.0,2001.5
2001,5,ND,14669,238684,6.15,239.0,2001.5
2001,5,NE,30657,576748,5.32,577.0,2001.5
2001,5,NH,31799,310713,10.23,311.0,2001.5
2001,5,NJ,251062,2761175,9.09,2761.0,2001.5
2001,5,NM,43037,544005,7.91,544.0,2001.5
2001,5,NV,51261,602519,8.51,603.0,2001.5
2001,5,NY,564431,4751675,11.88,4752.0,2001.5
2001,5,OH,292418,3299940,8.86,3300.0,2001.5
2001,5,OK,71736,1061538,6.76,1062.0,2001.5
2001,5,OR,61404,1173057,5.23,1173.0,2001.5
2001,5,PA,283441,3173715,8.93,3174.0,2001.5
2001,5,RI,32655,271276,12.04,271.0,2001.5
2001,5,SC,89078,1419869,6.27,1420.0,2001.5
2001,5,SD,15172,224015,6.77,224.0,2001.5
2001,5,TN,132426,2079095,6.37,2079.0,2001.5
2001,5,TX,550859,6918882,7.96,6919.0,2001.5
2001,5,UT,42728,717098,5.96,717.0,2001.5
2001,5,VA,140067,2356741,5.94,2357.0,2001.5
2001,5,VT,16780,150347,11.16,150.0,2001.5
2001,5,WA,102513,1918473,5.34,1918.0,2001.5
2001,5,WI,96955,1524651,6.36,1525.0,2001.5
2001,5,WV,28966,527004,5.5,527.0,2001.5
2001,5,WY,12442,226226,5.5,226.0,2001.5
2001,6,AK,18752,184155,10.18,184.0,2001.6
2001,6,AL,109822,1701771,6.45,1702.0,2001.6
2001,6,AR,53777,813329,6.61,813.0,2001.6
2001,6,AZ,164057,2023760,8.11,2024.0,2001.6
2001,6,CA,1035301,8597275,12.04,8597.0,2001.6
2001,6,CO,96346,1588378,6.07,1588.0,2001.6
2001,6,CT,101705,1095724,9.28,1096.0,2001.6
2001,6,DC,76889,867973,8.86,868.0,2001.6
2001,6,DE,23024,300318,7.67,300.0,2001.6
2001,6,FL,437180,6679631,6.54,6680.0,2001.6
2001,6,GA,231697,3370068,6.88,3370.0,2001.6
2001,6,HI,38472,262011,14.68,262.0,2001.6
2001,6,IA,51977,719370,7.23,719.0,2001.6
2001,6,ID,39440,758143,5.2,758.0,2001.6
2001,6,IL,303703,3781190,8.03,3781.0,2001.6
2001,6,IN,121305,2179398,5.57,2179.0,2001.6
2001,6,KS,73404,1150261,6.38,1150.0,2001.6
2001,6,KY,65798,1243927,5.29,1244.0,2001.6
2001,6,LA,131717,1588994,8.29,1589.0,2001.6
2001,6,MA,269202,2122630,12.68,2123.0,2001.6
2001,6,MD,165516,2186225,7.57,2186.0,2001.6
