Year,Month,State,Megawatthours,Cents/kWh,mkwh,Year_Month
2001,4,FL,6919498,8.84,6919.0,2001.4
2001,4,GA,2948651,7.4,2949.0,2001.4
2001,4,HI,219727,16.19,220.0,2001.4
2001,4,IA,823620,8.66,824.0,2001.4
2001,4,ID,535517,5.51,536.0,2001.4
2001,4,IL,2760593,8.81,2761.0,2001.4
2001,4,IN,1934990,7.1,1935.0,2001.4
2001,4,KS,755467,7.58,755.0,2001.4
2001,4,KY,1611068,5.64,1611.0,2001.4
2001,4,LA,1614184,8.64,1614.0,2001.4
2001,4,MA,1340544,12.49,1341.0,2001.4
2001,4,MD,1795394,7.17,1795.0,2001.4
2001,4,ME,320698,12.32,321.0,2001.4
2001,4,MI,2185404,8.08,2185.0,2001.4
2001,4,MN,1266434,7.36,1266.0,2001.4
2001,4,MO,1936292,6.55,1936.0,2001.4
2001,4,MS,1072630,7.42,1073.0,2001.4
2001,4,MT,309581,6.31,310.0,2001.4
2001,4,NC,3341507,8.0,3342.0,2001.4
2001,4,ND,267264,6.28,267.0,2001.4
2001,4,NE,589692,6.01,590.0,2001.4
2001,4,NH,279614,13.93,280.0,2001.4
2001,4,NJ,1739082,9.9,1739.0,2001.4
2001,4,NM,334979,8.75,335.0,2001.4
2001,4,NV,569060,9.34,569.0,2001.4
2001,4,NY,3251181,13.44,3251.0,2001.4
2001,4,OH,3278867,8.38,3279.0,2001.4
2001,4,OK,1154237,7.71,1154.0,2001.4
2001,4,OR,1510451,6.05,1510.0,2001.4
2001,4,PA,3503667,9.38,3504.0,2001.4
2001,4,RI,197802,13.17,198.0,2001.4
2001,4,SC,1695897,7.69,1696.0,2001.4
2001,4,SD,268749,7.23,269.0,2001.4
2001,4,TN,2651463,6.36,2651.0,2001.4
2001,4,TX,7033397,8.52,7033.0,2001.4
2001,4,UT,442681,6.9,443.0,2001.4
2001,4,VA,2565637,7.62,2566.0,2001.4
2001,4,VT,153487,12.04,153.0,2001.4
2001,4,WA,2853568,5.72,2854.0,2001.4
2001,4,WI,1445123,8.02,1445.0,2001.4
2001,4,WV,757174,6.22,757.0,2001.4
2001,4,WY,166479,6.61,166.0,2001.4
2001,5,AK,139193,12.13,139.0,2001.5
2001,5,AL,1945314,7.23,1945.0,2001.5
2001,5,AR,951217,8.0,951.0,2001.5
2001,5,AZ,1983740,9.41,1984.0,2001.5
2001,5,CA,5541028,11.97,5541.0,2001.5
2001,5,CO,1008523,7.84,1009.0,2001.5
2001,5,CT,775912,11.2,776.0,2001.5
2001,5,DC,115769,8.77,116.0,2001.5
2001,5,DE,231331,8.69,231.0,2001.5
2001,5,FL,6995791,8.93,6996.0,2001.5
2001,5,GA,3091007,7.82,3091.0,2001.5
2001,5,HI,229170,16.3,229.0,2001.5
2001,5,IA,810328,9.13,810.0,2001.5
2001,5,ID,468589,6.48,469.0,2001.5
2001,5,IL,2724446,9.2,2724.0,2001.5
2001,5,IN,1893080,7.3,1893.0,2001.5
2001,5,KS,844431,7.86,844.0,2001.5
2001,5,KY,1536165,5.75,1536.0,2001.5
2001,5,LA,1878379,8.33,1878.0,2001.5
2001,5,MA,1251549,12.47,1252.0,2001.5
2001,5,MD,1581567,8.46,1582.0,2001.5
2001,5,ME,255104,14.24,255.0,2001.5
2001,5,MI,2233682,8.16,2234.0,2001.5
2001,5,MN,1322275,7.87,1322.0,2001.5
2001,5,MO,1999478,7.42,1999.0,2001.5
2001,5,MS,1146134,7.76,1146.0,2001.5
2001,5,MT,266187,6.94,266.0,2001.5
2001,5,NC,3004071,8.22,3004.0,2001.5
2001,5,ND,230881,6.81,231.0,2001.5
2001,5,NE,558840,6.44,559.0,2001.5
2001,5,NH,269802,11.58,270.0,2001.5
2001,5,NJ,1677709,9.92,1678.0,2001.5
2001,5,NM,349889,9.24,350.0,2001.5
2001,5,NV,781660,9.21,782.0,2001.5
2001,5,NY,3090920,14.01,3091.0,2001.5
2001,5,OH,3108430,8.93,3108.0,2001.5
2001,5,OK,1258614,7.73,1259.0,2001.5
2001,5,OR,1296982,6.18,1297.0,2001.5
2001,5,PA,3030812,9.98,3031.0,2001.5
2001,5,RI,195945,12.38,196.0,2001.5
2001,5,SC,1626681,7.79,1627.0,2001.5
2001,5,SD,236066,7.76,236.0,2001.5
2001,5,TN,2367965,6.46,2368.0,2001.5
2001,5,TX,7840343,8.91,7840.0,2001.5
2001,5,UT,462010,7.13,462.0,2001.5
2001,5,VA,2349075,8.17,2349.0,2001.5
2001,5,VT,144276,12.59,144.0,2001.5
2001,5,WA,2438889,5.74,2439.0,2001.5
2001,5,WI,1408654,8.09,1409.0,2001.5
2001,5,WV,634240,6.53,634.0,2001.5
2001,5,WY,149011,6.85,149.0,2001.5
2001,6,AK,129996,12.31,130.0,2001.6
2001,6,AL,2461648,7.14,2462.0,2001.6
2001,6,AR,1244362,8.3,1244.0,2001.6
2001,6,AZ,2571914,9.04,2572.0,2001.6
2001,6,CA,6286687,12.87,6287.0,2001.6
2001,6,CO,1104477,8.18,1104.0,2001.6
2001,6,CT,945064,11.06,945.0,2001.6
2001,6,DC,160848,8.97,161.0,2001.6
2001,6,DE,267824,9.44,268.0,2001.6
2001,6,FL,9176736,8.2,9177.0,2001.6
2001,6,GA,3829835,8.37,3830.0,2001.6
2001,6,HI,226752,16.38,227.0,2001.6
2001,6,IA,996773,8.95,997.0,2001.6
2001,6,ID,400813,6.58,401.0,2001.6
2001,6,IL,3200664,9.43,3201.0,2001.6
2001,6,IN,2313476,7.21,2313.0,2001.6
2001,6,KS,1147847,7.79,1148.0,2001.6
2001,6,KY,1814156,5.75,1814.0,2001.6
2001,6,LA,2389403,8.8,2389.0,2001.6
2001,6,MA,1468433,12.57,1468.0,2001.6
2001,6,MD,2061973,8.56,2062.0,2001.6
2001,6,ME,301769,13.31,302.0,2001.6
2001,6,MI,2714062,8.52,2714.0,2001.6
2001,6,MN,1560839,8.2,1561.0,2001.6
2001,6,MO,2445540,8.15,2446.0,2001.6
2001,6,MS,1522866,7.81,1523.0,2001.6
2001,6,MT,274101,7.2,274.0,2001.6
2001,6,NC,3691121,8.19,3691.0,2001.6
2001,6,ND,214264,7.46,214.0,2001.6
2001,6,NE,650338,7.44,650.0,2001.6
2001,6,NH,296843,12.08,297.0,2001.6
2001,6,NJ,2292851,10.86,2293.0,2001.6
2001,6,NM,411596,9.13,412.0,2001.6
2001,6,NV,1069104,9.23,1069.0,2001.6
2001,6,NY,3468904,14.41,3469.0,2001.6
2001,6,OH,3561752,9.28,3562.0,2001.6
2001,6,OK,1788729,8.03,1789.0,2001.6
2001,6,OR,1154897,6.35,1155.0,2001.6
