Year,Month,State,industrial_usage
2016,10,ME,249
2016,11,ME,237
2016,12,ME,241
2017,1,ME,224
2017,2,ME,191
2017,3,ME,220
2017,4,ME,203
2017,5,ME,219
2017,6,ME,227
2017,7,ME,219
2017,8,ME,223
2017,9,ME,246
2017,10,ME,285
2017,11,ME,198
2017,12,ME,203
2018,1,ME,311
2018,2,ME,170
2018,3,ME,265
2018,4,ME,246
2018,5,ME,258
2018,6,ME,266
2018,7,ME,234
2018,8,ME,292
2018,9,ME,257
2018,10,ME,271
2018,11,ME,281
2018,12,ME,184
2019,1,ME,299
2019,2,ME,139
2019,3,ME,290
2019,4,ME,197
2019,5,ME,271
2019,6,ME,143
2019,7,ME,296
2019,8,ME,234
2019,9,ME,164
2019,10,ME,293
2019,11,ME,190
2019,12,ME,230
2020,1,ME,207
2020,2,ME,203
2020,3,ME,243
2020,4,ME,182
2001,1,MA,754
2001,2,MA,812
2001,3,MA,798
2001,4,MA,723
2001,5,MA,839
2001,6,MA,902
2001,7,MA,829
2001,8,MA,939
2001,9,MA,793
2001,10,MA,803
2001,11,MA,794
2001,12,MA,773
2002,1,MA,811
2002,2,MA,789
2002,3,MA,817
2002,4,MA,800
2002,5,MA,822
2002,6,MA,874
2002,7,MA,908
2002,8,MA,930
2002,9,MA,856
2002,10,MA,854
2002,11,MA,823
2002,12,MA,802
2003,1,MA,832
2003,2,MA,759
2003,3,MA,803
2003,4,MA,760
2003,5,MA,864
2003,6,MA,858
2003,7,MA,905
2003,8,MA,900
2003,9,MA,830
2003,10,MA,851
2003,11,MA,799
2003,12,MA,822
2004,1,MA,921
2004,2,MA,819
2004,3,MA,897
2004,4,MA,755
2004,5,MA,816
2004,6,MA,843
2004,7,MA,881
2004,8,MA,851
2004,9,MA,828
2004,10,MA,801
2004,11,MA,749
2004,12,MA,786
2005,1,MA,764
2005,2,MA,767
2005,3,MA,817
2005,4,MA,797
2005,5,MA,795
2005,6,MA,878
2005,7,MA,882
2005,8,MA,917
2005,9,MA,842
2005,10,MA,849
2005,11,MA,783
2005,12,MA,779
2006,1,MA,640
2006,2,MA,808
2006,3,MA,666
2006,4,MA,817
2006,5,MA,874
2006,6,MA,878
2006,7,MA,898
2006,8,MA,711
2006,9,MA,857
2006,10,MA,854
2006,11,MA,774
2006,12,MA,826
2007,1,MA,776
2007,2,MA,728
2007,3,MA,796
2007,4,MA,756
2007,5,MA,798
2007,6,MA,804
2007,7,MA,792
2007,8,MA,821
2007,9,MA,800
2007,10,MA,814
2007,11,MA,760
2007,12,MA,803
2008,1,MA,762
2008,2,MA,783
2008,3,MA,725
2008,4,MA,827
2008,5,MA,835
2008,6,MA,752
2008,7,MA,798
2008,8,MA,781
2008,9,MA,772
2008,10,MA,825
2008,11,MA,725
2008,12,MA,747
2009,1,MA,1487
2009,2,MA,1353
2009,3,MA,1386
2009,4,MA,1309
2009,5,MA,1392
2009,6,MA,1315
2009,7,MA,1365
2009,8,MA,1504
2009,9,MA,1428
2009,10,MA,1433
2009,11,MA,1403
2009,12,MA,1379
2010,1,MA,1391
2010,2,MA,1337
2010,3,MA,1414
2010,4,MA,1308
2010,5,MA,1448
2010,6,MA,1462
2010,7,MA,1526
2010,8,MA,1497
2010,9,MA,1523
2010,10,MA,1455
2010,11,MA,1416
2010,12,MA,1339
2011,1,MA,1356
2011,2,MA,1339
2011,3,MA,1449
2011,4,MA,1392
2011,5,MA,1331
2011,6,MA,1421
2011,7,MA,1534
2011,8,MA,1474
2011,9,MA,1563
2011,10,MA,1439
2011,11,MA,1348
2011,12,MA,1329
2012,1,MA,1382
2012,2,MA,1331
2012,3,MA,1378
2012,4,MA,1377
2012,5,MA,1307
2012,6,MA,1416
2012,7,MA,1546
2012,8,MA,1575
2012,9,MA,1492
2012,10,MA,1362
2012,11,MA,1372
2012,12,MA,1390
2013,1,MA,1392
2013,2,MA,1353
2013,3,MA,1359
2013,4,MA,1309
2013,5,MA,1349
2013,6,MA,1362
2013,7,MA,1556
2013,8,MA,1439
2013,9,MA,1456
2013,10,MA,1324
2013,11,MA,1282
2013,12,MA,1282
2014,1,MA,638
2014,2,MA,622
2014,3,MA,655
2014,4,MA,625
2014,5,MA,660
2014,6,MA,643
2014,7,MA,727
2014,8,MA,723
2014,9,MA,634
2014,10,MA,689
2014,11,MA,689
2014,12,MA,655
2015,1,MA,623
2015,2,MA,626
2015,3,MA,642
2015,4,MA,636
2015,5,MA,722
2015,6,MA,687
2015,7,MA,690
2015,8,MA,705
2015,9,MA,664
2015,10,MA,653
2015,11,MA,629
2015,12,MA,615
2016,1,MA,618
2016,2,MA,589
2016,3,MA,602
2016,4,MA,597
2016,5,MA,629
2016,6,MA,644
2016,7,MA,683
2016,8,MA,695
2016,9,MA,638
2016,10,MA,609
2016,11,MA,603
2016,12,MA,601
2017,1,MA,544
2017,2,MA,529
2017,3,MA,581
2017,4,MA,536
2017,5,MA,573
2017,6,MA,577
2017,7,MA,650
2017,8,MA,600
2017,9,MA,579
2017,10,MA,564
2017,11,MA,555
2017,12,MA,573
2018,1,MA,546
2018,2,MA,513
2018,3,MA,540
2018,4,MA,522
2018,5,MA,551
2018,6,MA,563
2018,7,MA,596
2018,8,MA,639
2018,9,MA,557
2018,10,MA,580
2018,11,MA,546
2018,12,MA,545
2019,1,MA,480
2019,2,MA,445
2019,3,MA,467
2019,4,MA,477
2019,5,MA,486
2019,6,MA,498
2019,7,MA,535
2019,8,MA,513
2019,9,MA,467
2019,10,MA,461
2019,11,MA,478
2019,12,MA,486
2020,1,MA,491
2020,2,MA,466
2020,3,MA,455
2020,4,MA,418
2001,1,NH,204
2001,2,NH,219
2001,3,NH,205
2001,4,NH,203
2001,5,NH,219
2001,6,NH,226
2001,7,NH,203
2001,8,NH,225
2001,9,NH,207
2001,10,NH,200
2001,11,NH,205
2001,12,NH,165
2002,1,NH,171
2002,2,NH,184
2002,3,NH,180
2002,4,NH,173
2002,5,NH,184
2002,6,NH,188
2002,7,NH,188
2002,8,NH,207
2002,9,NH,191
2002,10,NH,188
2002,11,NH,184
2002,12,NH,185
2003,1,NH,191
2003,2,NH,194
2003,3,NH,187
2003,4,NH,191
2003,5,NH,200
2003,6,NH,215
2003,7,NH,211
2003,8,NH,225
2003,9,NH,214
2003,10,NH,209
2003,11,NH,190
2003,12,NH,177
2004,1,NH,200
2004,2,NH,187
2004,3,NH,195
2004,4,NH,191
2004,5,NH,196
2004,6,NH,190
2004,7,NH,207
2004,8,NH,208
2004,9,NH,196
2004,10,NH,194
2004,11,NH,182
2004,12,NH,183
2005,1,NH,176
2005,2,NH,178
2005,3,NH,166
2005,4,NH,178
2005,5,NH,182
2005,6,NH,186
2005,7,NH,189
2005,8,NH,191
2005,9,NH,195
2005,10,NH,192
2005,11,NH,171
2005,12,NH,169
2006,1,NH,172
2006,2,NH,175
2006,3,NH,181
2006,4,NH,171
2006,5,NH,183
2006,6,NH,163
2006,7,NH,188
2006,8,NH,188
2006,9,NH,164
2006,10,NH,178
2006,11,NH,185
2006,12,NH,183
2007,1,NH,172
2007,2,NH,182
2007,3,NH,177
2007,4,NH,174
2007,5,NH,185
2007,6,NH,187
2007,7,NH,189
2007,8,NH,191
2007,9,NH,185
2007,10,NH,182
2007,11,NH,180
2007,12,NH,168
2008,1,NH,164
2008,2,NH,178
2008,3,NH,172
2008,4,NH,169
2008,5,NH,177
2008,6,NH,181
2008,7,NH,182
2008,8,NH,185
2008,9,NH,177
2008,10,NH,174
2008,11,NH,166
2008,12,NH,141
2009,1,NH,151
2009,2,NH,159
2009,3,NH,145
2009,4,NH,149
2009,5,NH,149
2009,6,NH,144
2009,7,NH,154
2009,8,NH,171
2009,9,NH,166
2009,10,NH,157
2009,11,NH,147
2009,12,NH,146
2010,1,NH,158
2010,2,NH,158
2010,3,NH,152
2010,4,NH,155
2010,5,NH,157
2010,6,NH,157
2010,7,NH,175
2010,8,NH,178
2010,9,NH,179
2010,10,NH,165
2010,11,NH,155
2010,12,NH,153
2011,1,NH,158
2011,2,NH,158
2011,3,NH,153
2011,4,NH,158
2011,5,NH,149
2011,6,NH,162
2011,7,NH,171
2011,8,NH,178
2011,9,NH,176
2011,10,NH,165
2011,11,NH,154
2011,12,NH,154
2012,1,NH,157
2012,2,NH,161
2012,3,NH,156
2012,4,NH,157
2012,5,NH,154
2012,6,NH,158
2012,7,NH,180
2012,8,NH,180
2012,9,NH,176
2012,10,NH,163
2012,11,NH,152
2012,12,NH,160
2013,1,NH,156
2013,2,NH,164
2013,3,NH,150
2013,4,NH,155
2013,5,NH,162
2013,6,NH,166
2013,7,NH,175
2013,8,NH,183
2013,9,NH,179
2013,10,NH,162
2013,11,NH,158
2013,12,NH,161
2014,1,NH,156
2014,2,NH,170
2014,3,NH,152
2014,4,NH,154
2014,5,NH,159
2014,6,NH,165
2014,7,NH,175
2014,8,NH,179
2014,9,NH,178
2014,10,NH,165
2014,11,NH,157
2014,12,NH,158
2015,1,NH,154
2015,2,NH,160
2015,3,NH,157
2015,4,NH,158
2015,5,NH,160
2015,6,NH,174
2015,7,NH,173
2015,8,NH,185
2015,9,NH,182
2015,10,NH,167
2015,11,NH,158
2015,12,NH,153
2016,1,NH,155
2016,2,NH,165
2016,3,NH,165
2016,4,NH,158
2016,5,NH,158
2016,6,NH,172
2016,7,NH,177
2016,8,NH,188
2016,9,NH,181
2016,10,NH,171
2016,11,NH,158
2016,12,NH,154
2017,1,NH,164
2017,2,NH,151
2017,3,NH,161
2017,4,NH,148
2017,5,NH,155
2017,6,NH,167
2017,7,NH,172
2017,8,NH,177
2017,9,NH,187
2017,10,NH,166
2017,11,NH,157
2017,12,NH,150
2018,1,NH,155
2018,2,NH,155
2018,3,NH,156
2018,4,NH,154
2018,5,NH,165
2018,6,NH,175
2018,7,NH,165
2018,8,NH,192
2018,9,NH,168
2018,10,NH,174
2018,11,NH,151
2018,12,NH,154
2019,1,NH,157
2019,2,NH,150
2019,3,NH,151
2019,4,NH,154
2019,5,NH,158
2019,6,NH,161
2019,7,NH,176
2019,8,NH,169
2019,9,NH,165
2019,10,NH,162
2019,11,NH,156
2019,12,NH,145
2020,1,NH,145
2020,2,NH,158
2020,3,NH,152
2020,4,NH,139
2001,1,RI,110
2001,2,RI,105
2001,3,RI,122
2001,4,RI,100
2001,5,RI,127
2001,6,RI,124
2001,7,RI,134
2001,8,RI,118
2001,9,RI,109
2001,10,RI,113
2001,11,RI,109
2001,12,RI,114
2002,1,RI,95
2002,2,RI,111
2002,3,RI,109
2002,4,RI,108
2002,5,RI,111
2002,6,RI,108
2002,7,RI,115
2002,8,RI,124
2002,9,RI,108
2002,10,RI,117
2002,11,RI,118
2002,12,RI,108
2003,1,RI,105
2003,2,RI,98
2003,3,RI,107
2003,4,RI,102
2003,5,RI,109
2003,6,RI,113
2003,7,RI,128
2003,8,RI,123
2003,9,RI,86
2003,10,RI,107
2003,11,RI,119
2003,12,RI,113
2004,1,RI,111
2004,2,RI,105
2004,3,RI,119
2004,4,RI,100
2004,5,RI,115
2004,6,RI,115
2004,7,RI,119
2004,8,RI,116
2004,9,RI,113
2004,10,RI,107
2004,11,RI,113
2004,12,RI,112
2005,1,RI,99
2005,2,RI,98
2005,3,RI,105
2005,4,RI,98
2005,5,RI,107
2005,6,RI,111
2005,7,RI,116
2005,8,RI,109
2005,9,RI,103
2005,10,RI,98
2005,11,RI,95
2005,12,RI,110
2006,1,RI,94
2006,2,RI,98
2006,3,RI,97
2006,4,RI,92
2006,5,RI,98
2006,6,RI,105
2006,7,RI,111
2006,8,RI,102
2006,9,RI,97
2006,10,RI,103
2006,11,RI,95
2006,12,RI,101
2007,1,RI,100
2007,2,RI,89
2007,3,RI,98
2007,4,RI,89
2007,5,RI,101
2007,6,RI,104
2007,7,RI,98
2007,8,RI,110
2007,9,RI,86
2007,10,RI,101
2007,11,RI,100
2007,12,RI,94
2008,1,RI,84
2008,2,RI,88
2008,3,RI,66
2008,4,RI,116
2008,5,RI,92
2008,6,RI,99
2008,7,RI,94
2008,8,RI,85
2008,9,RI,83
2008,10,RI,96
2008,11,RI,98
2008,12,RI,74
2009,1,RI,86
2009,2,RI,72
2009,3,RI,76
2009,4,RI,73
2009,5,RI,125
2009,6,RI,81
2009,7,RI,99
2009,8,RI,85
2009,9,RI,68
2009,10,RI,76
2009,11,RI,75
2009,12,RI,75
2010,1,RI,76
2010,2,RI,75
2010,3,RI,72
2010,4,RI,74
2010,5,RI,83
2010,6,RI,89
2010,7,RI,87
2010,8,RI,83
2010,9,RI,86
2010,10,RI,78
2010,11,RI,79
2010,12,RI,80
2011,1,RI,70
2011,2,RI,74
2011,3,RI,79
2011,4,RI,71
2011,5,RI,81
2011,6,RI,82
2011,7,RI,85
2011,8,RI,83
2011,9,RI,72
2011,10,RI,73
2011,11,RI,72
2011,12,RI,73
2012,1,RI,81
2012,2,RI,74
2012,3,RI,76
2012,4,RI,72
2012,5,RI,78
2012,6,RI,83
2012,7,RI,83
2012,8,RI,86
2012,9,RI,71
2012,10,RI,75
2012,11,RI,75
2012,12,RI,70
2013,1,RI,74
2013,2,RI,74
2013,3,RI,77
2013,4,RI,72
2013,5,RI,78
2013,6,RI,81
2013,7,RI,93
2013,8,RI,77
2013,9,RI,77
2013,10,RI,75
2013,11,RI,72
2013,12,RI,74
2014,1,RI,66
2014,2,RI,78
2014,3,RI,79
2014,4,RI,74
2014,5,RI,78
2014,6,RI,79
2014,7,RI,86
2014,8,RI,78
2014,9,RI,68
2014,10,RI,63
2014,11,RI,70
2014,12,RI,68
2015,1,RI,65
2015,2,RI,64
2015,3,RI,68
2015,4,RI,61
2015,5,RI,69
2015,6,RI,70
2015,7,RI,67
2015,8,RI,79
2015,9,RI,61
2015,10,RI,64
2015,11,RI,64
2015,12,RI,65
2016,1,RI,61
2016,2,RI,63
2016,3,RI,64
2016,4,RI,62
2016,5,RI,63
2016,6,RI,65
2016,7,RI,73
2016,8,RI,70
2016,9,RI,60
2016,10,RI,59
2016,11,RI,61
2016,12,RI,62
2017,1,RI,63
