YEAR,STATE,Coal,Geothermal,Hydroelectric Conventional,Natural Gas,Nuclear,Other,Other Biomass,Other Gases,Petroleum,Pumped Storage,Solar Thermal and Photovoltaic,Wind,Wood and Wood Derived Fuels,Unnamed: 15,Total
1990.0,UT,31522926.0,151825.0,508443.0,146488.0,0.0,0.0,0.0,182005.0,51852.0,0.0,0.0,0.0,0.0,0.0,32563539.0
1990.0,VA,23899902.0,0.0,1309499.0,1134809.0,23820152.0,0.0,620794.0,0.0,1438264.0,-833669.0,34.0,0.0,1174673.0,0.0,52564458.0
1990.0,VT,0.0,0.0,1365031.0,65281.0,3616268.0,0.0,0.0,0.0,2543.0,0.0,0.0,0.0,114985.0,0.0,5164108.0
1990.0,WA,7390279.0,0.0,87466708.0,288058.0,5742027.0,3750.0,6499.0,8460.0,42981.0,0.0,0.0,0.0,1122771.0,0.0,102071533.0
1990.0,WI,33168941.0,0.0,2014412.0,347204.0,11225913.0,0.0,149770.0,0.0,179457.0,0.0,0.0,44.0,683116.0,0.0,47768857.0
1990.0,WV,77643366.0,0.0,1295051.0,90063.0,0.0,11207.0,0.0,174182.0,325675.0,0.0,0.0,0.0,0.0,0.0,79539544.0
1990.0,WY,38908467.0,0.0,644613.0,268202.0,0.0,45396.0,0.0,8642.0,49205.0,0.0,0.0,0.0,50440.0,0.0,39974965.0
1991.0,AK,520514.0,0.0,896113.0,3319395.0,0.0,0.0,0.0,0.0,513425.0,0.0,0.0,0.0,140381.0,0.0,5389828.0
1991.0,AL,58222842.0,0.0,10757723.0,1222500.0,15874637.0,0.0,31330.0,293206.0,167824.0,0.0,0.0,0.0,2216550.0,0.0,88786612.0
1991.0,AR,19644712.0,0.0,3546966.0,3324886.0,12661793.0,0.0,16613.0,0.0,68257.0,14103.0,0.0,0.0,1373914.0,0.0,40651244.0
1991.0,AZ,32557748.0,0.0,6735540.0,2226388.0,25095776.0,0.0,0.0,0.0,117399.0,362912.0,0.0,0.0,106788.0,0.0,67202551.0
1991.0,CA,2632419.0,14784796.0,21957064.0,74006160.0,31541799.0,5112.0,2471400.0,1978403.0,1970119.0,99860.0,471361.0,2914505.0,4114644.0,0.0,158947642.0
1991.0,CO,29134010.0,0.0,1794290.0,1314681.0,0.0,0.0,58832.0,0.0,37910.0,-18130.0,0.0,0.0,0.0,0.0,32321593.0
1991.0,CT,3633427.0,0.0,433338.0,1571856.0,12242911.0,0.0,1162621.0,2646.0,7993224.0,-3556.0,0.0,0.0,0.0,0.0,27036467.0
1991.0,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179814.0,0.0,0.0,0.0,0.0,0.0,179814.0
1991.0,DE,4820759.0,0.0,0.0,1110236.0,0.0,6315.0,0.0,0.0,1900822.0,0.0,0.0,0.0,0.0,0.0,7838132.0
1991.0,FL,62013484.0,0.0,263066.0,19758810.0,20507569.0,1917539.0,2259842.0,10292.0,30599959.0,0.0,0.0,0.0,2086128.0,0.0,139416689.0
1991.0,GA,61034072.0,0.0,4232058.0,809826.0,26016023.0,431.0,65788.0,0.0,541032.0,432291.0,0.0,0.0,3041610.0,0.0,96173131.0
1991.0,HI,7612.0,0.0,70988.0,0.0,0.0,0.0,823082.0,51479.0,7714453.0,0.0,0.0,35621.0,0.0,0.0,8703235.0
1991.0,IA,26756771.0,0.0,901111.0,388004.0,4146811.0,0.0,25267.0,0.0,49892.0,0.0,0.0,0.0,0.0,0.0,32267856.0
1991.0,ID,16359.0,0.0,8745279.0,107243.0,0.0,61948.0,9784.0,0.0,361.0,0.0,0.0,0.0,487645.0,0.0,9428619.0
1991.0,IL,55060170.0,0.0,134457.0,1735870.0,71866091.0,0.0,182055.0,385381.0,910110.0,0.0,0.0,0.0,211.0,0.0,130274345.0
1991.0,IN,97457227.0,0.0,399051.0,1454748.0,0.0,0.0,33114.0,2107806.0,529353.0,0.0,0.0,0.0,0.0,0.0,101981299.0
1991.0,KS,23435008.0,0.0,10567.0,3265529.0,5858613.0,0.0,0.0,0.0,60984.0,0.0,0.0,42.0,0.0,0.0,32630743.0
1991.0,KY,71713851.0,0.0,3657801.0,21871.0,0.0,0.0,0.0,0.0,111558.0,0.0,0.0,0.0,0.0,0.0,75505081.0
1991.0,LA,18968479.0,0.0,656492.0,36363381.0,13956196.0,1583053.0,91661.0,955600.0,55760.0,0.0,0.0,0.0,2342071.0,0.0,74972693.0
1991.0,MA,11985593.0,0.0,1114929.0,6329862.0,4416611.0,0.0,1634651.0,800.0,16159825.0,-622480.0,0.0,0.0,0.0,0.0,41019791.0
1991.0,MD,22835671.0,0.0,1407287.0,1517463.0,9036100.0,0.0,336551.0,478704.0,4078506.0,0.0,0.0,0.0,160602.0,0.0,39850884.0
1991.0,ME,857960.0,0.0,3817231.0,49101.0,6264366.0,0.0,384419.0,0.0,2152209.0,0.0,0.0,0.0,3819497.0,0.0,17344783.0
1991.0,MI,66878223.0,0.0,1751668.0,8499078.0,27021214.0,28221.0,504978.0,217829.0,658567.0,-795785.0,0.0,0.0,1214131.0,0.0,105978124.0
1991.0,MN,26783813.0,0.0,1037092.0,803940.0,12059055.0,0.0,439811.0,0.0,583697.0,0.0,0.0,237.0,424465.0,0.0,42132110.0
1991.0,MO,48211692.0,0.0,1119389.0,1093001.0,9979371.0,0.0,0.0,0.0,119145.0,-47872.0,0.0,0.0,0.0,0.0,60474726.0
1991.0,MS,8790265.0,0.0,0.0,5718936.0,9132933.0,0.0,0.0,0.0,396188.0,0.0,0.0,0.0,1838294.0,0.0,25876616.0
1991.0,MT,16432520.0,0.0,11970007.0,32344.0,0.0,0.0,0.0,0.0,19654.0,0.0,0.0,0.0,98623.0,0.0,28553148.0
1991.0,NC,50767188.0,0.0,5850120.0,385907.0,30312425.0,226926.0,44128.0,0.0,275785.0,216432.0,0.0,0.0,1296373.0,0.0,89375284.0
1991.0,ND,25828747.0,0.0,1756684.0,940.0,0.0,0.0,0.0,40131.0,52646.0,0.0,0.0,0.0,0.0,0.0,27679148.0
1991.0,NE,13591228.0,0.0,1044671.0,303327.0,8047662.0,0.0,0.0,0.0,13459.0,0.0,0.0,0.0,0.0,0.0,23000347.0
1991.0,NH,3168054.0,0.0,1585286.0,-1.0,6787851.0,0.0,141432.0,0.0,1592175.0,0.0,0.0,0.0,946544.0,0.0,14221341.0
