,0,1,2,3
848,2013,09,NH,0
849,2013,10,NH,0
850,2013,11,NH,0
851,2013,12,NH,0
852,2014,01,NH,0
853,2014,02,NH,0
854,2014,03,NH,0
855,2014,04,NH,0
856,2014,05,NH,0
857,2014,06,NH,0
858,2014,07,NH,0
859,2014,08,NH,0
860,2014,09,NH,0
861,2014,10,NH,0
862,2014,11,NH,0
863,2014,12,NH,0
864,2015,01,NH,0
865,2015,02,NH,0
866,2015,03,NH,0
867,2015,04,NH,0
868,2015,05,NH,0
869,2015,06,NH,0
870,2015,07,NH,0
871,2015,08,NH,0
872,2015,09,NH,0
873,2015,10,NH,0
874,2015,11,NH,0
875,2015,12,NH,0
876,2016,01,NH,0
877,2016,02,NH,0
878,2016,03,NH,0
879,2016,04,NH,0
880,2016,05,NH,0
881,2016,06,NH,0
882,2016,07,NH,0
883,2016,08,NH,0
884,2016,09,NH,0
885,2016,10,NH,0
886,2016,11,NH,0
887,2016,12,NH,0
888,2017,01,NH,0
889,2017,02,NH,0
890,2017,03,NH,0
891,2017,04,NH,0
892,2017,05,NH,0
893,2017,06,NH,0
894,2017,07,NH,0
895,2017,08,NH,0
896,2017,09,NH,0
897,2017,10,NH,0
898,2017,11,NH,0
899,2017,12,NH,0
900,2018,01,NH,0
901,2018,02,NH,0
902,2018,03,NH,0
903,2018,04,NH,0
904,2018,05,NH,0
905,2018,06,NH,0
906,2018,07,NH,0
907,2018,08,NH,0
908,2018,09,NH,0
909,2018,10,NH,0
910,2018,11,NH,0
911,2018,12,NH,0
912,2019,01,NH,0
913,2019,02,NH,0
914,2019,03,NH,0
915,2019,04,NH,0
916,2019,05,NH,0
917,2019,06,NH,0
918,2019,07,NH,0
919,2019,08,NH,0
920,2019,09,NH,0
921,2019,10,NH,0
922,2019,11,NH,0
923,2019,12,NH,0
924,2020,01,NH,0
925,2020,02,NH,0
926,2020,03,NH,0
927,2020,04,NH,0
928,2001,01,RI,--
929,2001,02,RI,--
930,2001,03,RI,--
931,2001,04,RI,--
932,2001,05,RI,--
933,2001,06,RI,--
934,2001,07,RI,--
935,2001,08,RI,--
936,2001,09,RI,--
937,2001,10,RI,--
938,2001,11,RI,--
939,2001,12,RI,--
940,2002,01,RI,--
941,2002,02,RI,--
942,2002,03,RI,--
943,2002,04,RI,--
944,2002,05,RI,--
945,2002,06,RI,--
946,2002,07,RI,--
947,2002,08,RI,--
948,2002,09,RI,--
949,2002,10,RI,--
950,2002,11,RI,--
951,2002,12,RI,--
952,2003,01,RI,0
953,2003,02,RI,0
954,2003,03,RI,0
955,2003,04,RI,0
956,2003,05,RI,0
957,2003,06,RI,0
958,2003,07,RI,0
959,2003,08,RI,0
960,2003,09,RI,0
961,2003,10,RI,0
962,2003,11,RI,0
963,2003,12,RI,0
964,2004,01,RI,0
965,2004,02,RI,0
966,2004,03,RI,0
967,2004,04,RI,0
968,2004,05,RI,0
969,2004,06,RI,0
970,2004,07,RI,0
971,2004,08,RI,0
972,2004,09,RI,0
973,2004,10,RI,0
974,2004,11,RI,0
975,2004,12,RI,0
976,2005,01,RI,0
977,2005,02,RI,0
978,2005,03,RI,0
979,2005,04,RI,0
980,2005,05,RI,0
981,2005,06,RI,0
982,2005,07,RI,0
983,2005,08,RI,0
984,2005,09,RI,0
985,2005,10,RI,0
986,2005,11,RI,0
987,2005,12,RI,0
988,2006,01,RI,0
989,2006,02,RI,0
990,2006,03,RI,0
991,2006,04,RI,0
992,2006,05,RI,0
993,2006,06,RI,0
994,2006,07,RI,0
995,2006,08,RI,0
996,2006,09,RI,0
997,2006,10,RI,0
998,2006,11,RI,0
999,2006,12,RI,0
1000,2007,01,RI,0
1001,2007,02,RI,0
1002,2007,03,RI,0
1003,2007,04,RI,0
1004,2007,05,RI,0
1005,2007,06,RI,0
1006,2007,07,RI,0
1007,2007,08,RI,0
1008,2007,09,RI,0
1009,2007,10,RI,0
1010,2007,11,RI,0
1011,2007,12,RI,0
1012,2008,01,RI,0
1013,2008,02,RI,0
1014,2008,03,RI,0
1015,2008,04,RI,0
1016,2008,05,RI,0
1017,2008,06,RI,0
1018,2008,07,RI,0
1019,2008,08,RI,0
1020,2008,09,RI,0
1021,2008,10,RI,0
1022,2008,11,RI,0
1023,2008,12,RI,0
1024,2009,01,RI,0
1025,2009,02,RI,0
1026,2009,03,RI,0
1027,2009,04,RI,0
1028,2009,05,RI,0
1029,2009,06,RI,0
1030,2009,07,RI,0
1031,2009,08,RI,0
1032,2009,09,RI,0
1033,2009,10,RI,0
1034,2009,11,RI,0
1035,2009,12,RI,0
1036,2010,01,RI,3
1037,2010,02,RI,3
1038,2010,03,RI,2
1039,2010,04,RI,2
1040,2010,05,RI,2
1041,2010,06,RI,2
1042,2010,07,RI,2
1043,2010,08,RI,2
1044,2010,09,RI,2
1045,2010,10,RI,2
1046,2010,11,RI,2
1047,2010,12,RI,2
1048,2011,01,RI,3
1049,2011,02,RI,2
1050,2011,03,RI,3
1051,2011,04,RI,2
1052,2011,05,RI,2
1053,2011,06,RI,2
1054,2011,07,RI,2
1055,2011,08,RI,2
1056,2011,09,RI,2
1057,2011,10,RI,2
1058,2011,11,RI,2
1059,2011,12,RI,2
1060,2012,01,RI,2
1061,2012,02,RI,2
1062,2012,03,RI,2
1063,2012,04,RI,2
1064,2012,05,RI,2
1065,2012,06,RI,2
1066,2012,07,RI,2
1067,2012,08,RI,2
1068,2012,09,RI,2
1069,2012,10,RI,2
1070,2012,11,RI,2
1071,2012,12,RI,2
1072,2013,01,RI,2
1073,2013,02,RI,2
1074,2013,03,RI,2
1075,2013,04,RI,2
1076,2013,05,RI,2
1077,2013,06,RI,2
1078,2013,07,RI,2
1079,2013,08,RI,2
1080,2013,09,RI,2
1081,2013,10,RI,2
1082,2013,11,RI,2
1083,2013,12,RI,2
1084,2014,01,RI,3
1085,2014,02,RI,3
1086,2014,03,RI,2
1087,2014,04,RI,2
1088,2014,05,RI,2
1089,2014,06,RI,2
1090,2014,07,RI,2
1091,2014,08,RI,2
1092,2014,09,RI,2
1093,2014,10,RI,2
1094,2014,11,RI,2
1095,2014,12,RI,3
1096,2015,01,RI,2
1097,2015,02,RI,2
1098,2015,03,RI,3
1099,2015,04,RI,2
1100,2015,05,RI,2
1101,2015,06,RI,2
1102,2015,07,RI,2
1103,2015,08,RI,2
1104,2015,09,RI,2
1105,2015,10,RI,2
1106,2015,11,RI,2
1107,2015,12,RI,2
1108,2016,01,RI,2
1109,2016,02,RI,2
1110,2016,03,RI,2
1111,2016,04,RI,2
1112,2016,05,RI,2
1113,2016,06,RI,2
1114,2016,07,RI,2
1115,2016,08,RI,2
1116,2016,09,RI,2
1117,2016,10,RI,2
1118,2016,11,RI,2
1119,2016,12,RI,2
1120,2017,01,RI,2
1121,2017,02,RI,2
1122,2017,03,RI,2
1123,2017,04,RI,2
1124,2017,05,RI,2
1125,2017,06,RI,2
1126,2017,07,RI,2
1127,2017,08,RI,2
1128,2017,09,RI,2
1129,2017,10,RI,2
1130,2017,11,RI,2
1131,2017,12,RI,2
1132,2018,01,RI,3
1133,2018,02,RI,2
1134,2018,03,RI,2
1135,2018,04,RI,2
1136,2018,05,RI,2
1137,2018,06,RI,2
1138,2018,07,RI,2
1139,2018,08,RI,2
1140,2018,09,RI,2
1141,2018,10,RI,2
1142,2018,11,RI,2
1143,2018,12,RI,2
1144,2019,01,RI,2
1145,2019,02,RI,2
1146,2019,03,RI,2
1147,2019,04,RI,2
1148,2019,05,RI,2
1149,2019,06,RI,2
1150,2019,07,RI,2
