YEAR,MONTH,STATE,Coal,Geothermal,Hydroelectric Conventional,Natural Gas,Nuclear,Other,Other Biomass,Other Gases,Petroleum,Pumped Storage,Solar Thermal and Photovoltaic,Total,Wind,Wood and Wood Derived Fuels,Country
2001,3,HI,136641,18048,8008,0,0,5137,11731,2577,691012,0,0,873314,160,0,US
2001,3,IA,3005480,0,86814,38186,392652,574,7426,0,7727,0,0,3576369,37510,0,US
2001,3,ID,5169,0,508810,23862,0,7633,0,0,868,0,0,595208,0,48866,US
2001,3,IL,6274332,0,12527,176962,8157689,2560,54330,29867,173953,0,0,14882220,0,0,US
2001,3,IN,9496364,0,50534,132472,0,1284,8891,237247,23928,0,0,9950720,0,0,US
2001,3,KS,2342529,0,0,84704,833873,0,0,0,78428,0,0,3339534,0,0,US
2001,3,KY,7916251,0,243527,32201,0,0,0,0,8794,0,0,8201581,0,808,US
2001,3,LA,1255233,0,92884,2753717,1566424,66850,4599,36367,327667,0,0,6320906,0,217165,US
2001,3,MA,1062622,0,88465,901928,490652,56615,90246,0,946297,-51025,0,3596645,0,10845,US
2001,3,MD,1781326,0,218473,143413,963457,20064,28964,34186,406205,0,0,3597128,0,1039,US
2001,3,ME,50936,0,246454,690005,0,37325,19418,0,151233,0,0,1503442,0,308071,US
2001,3,MI,5612868,0,133295,853101,2932774,11815,49474,579,42483,-98802,0,9681003,0,143415,US
2001,3,MN,2481253,0,61307,73537,808190,19851,36682,0,61439,0,0,3662516,67452,52805,US
2001,3,MO,4829982,0,176107,171273,698802,3122,781,0,37930,-26907,0,5891090,0,0,US
2001,3,MS,1793695,0,0,363988,943421,0,0,0,462579,0,0,3642720,0,79037,US
2001,3,MT,1408364,0,467801,1449,0,0,0,0,37466,0,0,1920857,0,5777,US
2001,3,NC,6387169,0,249918,21672,2406373,25991,7199,58,80611,0,0,9303299,0,124308,US
2001,3,ND,2569004,0,110694,222,0,0,618,5302,4569,0,0,2690409,0,0,US
2001,3,NE,1830489,0,73821,21064,319876,58,1353,0,2771,0,0,2249603,171,0,US
2001,3,NH,314692,0,80331,6335,448121,5246,14208,0,10294,0,0,958477,0,79250,US
2001,3,NJ,456933,0,1501,1323883,2895850,39725,72854,37911,129186,-11083,0,4946760,0,0,US
2001,3,NM,2144473,0,24185,442010,0,0,1624,0,5007,0,0,2617299,0,0,US
2001,3,NV,1431054,105705,272857,1121630,0,0,0,0,108950,0,0,3040196,0,0,US
2001,3,NY,2272347,0,2203381,2097034,3333623,66887,105798,9381,2041520,-65481,0,12114668,1657,48521,US
2001,3,OH,11134282,0,41037,51146,779198,0,2289,24759,37567,0,0,12107819,0,37541,US
2001,3,OK,2413012,0,420424,961389,0,0,0,5030,1503,-10223,0,3807719,0,16584,US
2001,3,OR,417957,0,2823249,875884,0,2942,3899,0,1247,0,0,4208538,7693,75667,US
2001,3,PA,9896340,0,246268,145636,6077054,63899,100790,50772,264034,-55543,0,16841128,948,50930,US
2001,3,RI,0,0,246,575886,0,0,8928,0,4442,0,0,589502,0,0,US
2001,3,SC,3086360,0,150587,39635,4069889,2011,2493,2,37021,-63980,0,7385446,0,61428,US
2001,3,SD,330835,0,227222,41649,0,0,0,0,1614,0,0,601320,0,0,US
2001,3,TN,4964554,0,626702,16127,2555623,713,3057,1515,26552,-52929,0,8193004,0,51090,US
2001,3,TX,11004470,0,180140,13316335,2462837,82436,8098,151884,213414,0,0,27580339,87631,73094,US
2001,3,US-TOTAL,155269011,1190023,20477189,44364414,62140712,931155,1189040,769181,11733006,-773345,31498,300706544,532120,2852540,US
2001,3,UT,2235985,13636,41615,139404,0,359,475,0,3867,0,0,2435341,0,0,US
2001,3,VA,3283504,0,105812,67186,2083180,28296,44071,0,790285,-132498,0,6358233,0,88397,US
2001,3,VT,0,0,79614,630,357555,0,0,0,919,0,0,471650,1407,31525,US
2001,3,WA,865123,0,5024914,928241,831472,6274,14359,0,10897,0,0,7775825,0,94545,US
2001,3,WI,3130117,0,176692,194585,1111328,13623,27883,0,38415,0,0,4755366,3436,59287,US
2001,3,WV,6850762,0,139400,7240,0,1590,2107,9679,29907,0,0,7040685,0,0,US
2001,3,WY,3956114,0,47356,57739,0,7120,0,714,2371,0,0,4093370,21956,0,US
2001,4,AK,37590,0,84615,290050,0,0,0,0,76372,0,0,488698,71,0,US
2001,4,AL,4619950,0,696398,491732,1459636,678,1454,13806,85539,0,0,7714348,0,345155,US
2001,4,AR,1598448,0,206341,251131,1109159,24,659,0,49101,0,0,3349774,0,134911,US
2001,4,AZ,3558180,0,704075,1029478,1837828,0,518,0,14489,15392,37,7159997,0,0,US
2001,4,CA,205590,966038,2096459,9208768,2318671,13421,159790,92264,252218,-143867,38722,15841018,392673,240271,US
2001,4,CO,2689543,0,95425,873971,0,0,5258,0,31213,-5148,0,3692812,2550,0,US
2001,4,CT,301700,0,60494,79549,1368619,83388,92345,104,293881,0,0,2280079,0,0,US
2001,4,DC,0,0,0,0,0,0,0,0,766,0,0,766,0,0,US
2001,4,DE,348861,0,0,9062,0,0,0,11666,207428,0,0,577017,0,0,US
2001,4,FL,5111631,0,15767,3239194,2367100,231047,155727,22,3522650,0,0,14808706,0,165568,US
2001,4,GA,6116872,0,245243,309596,2244986,669,2294,0,110530,-40296,0,9245326,0,255432,US
2001,4,HI,110750,18061,9808,0,0,15363,25138,3113,653380,0,0,835878,265,0,US
2001,4,IA,2609318,0,56258,40754,140468,466,7739,0,7362,0,0,2916301,53936,0,US
2001,4,ID,6013,0,536699,23532,0,9538,0,0,285,0,0,621878,0,45811,US
2001,4,IL,5643634,0,14166,210859,7117233,3109,50454,27605,253113,0,0,13320173,0,0,US
2001,4,IN,8130686,0,42167,160721,0,1227,8495,256915,33585,0,0,8633796,0,0,US
2001,4,KS,2236719,0,0,72675,855348,0,0,0,81355,0,0,3246097,0,0,US
2001,4,KY,6874749,0,202527,31247,0,0,0,0,16197,0,0,7125446,0,726,US
2001,4,LA,1458538,0,87213,3445261,1254261,73186,3609,35156,339045,0,0,6926936,0,230667,US
2001,4,MA,943467,0,94064,565846,315658,65056,97456,0,370364,-56770,0,2404166,0,9025,US
2001,4,MD,1934737,0,290949,103009,623493,19602,28193,37438,271851,0,0,3309853,0,580,US
2001,4,ME,38993,0,279947,566073,0,28449,49783,0,107004,0,0,1297956,0,227707,US
2001,4,MI,5075934,0,153609,691832,2199322,10594,45143,683,20416,-92430,0,8255739,0,150637,US
2001,4,MN,2104236,0,91367,94296,1138176,24999,44623,0,34132,0,0,3666583,91287,43467,US
2001,4,MO,4631481,0,91964,271707,112310,281,780,0,6747,-18600,0,5096669,0,0,US
2001,4,MS,1667551,0,0,954275,373230,38,0,0,478812,0,0,3559358,0,85452,US
2001,4,MT,1044417,0,456177,669,0,0,0,0,39085,0,0,1546183,0,5835,US
2001,4,NC,5543477,0,229253,45969,2964862,25469,6252,63,104754,0,0,9075057,0,154958,US
2001,4,ND,2203076,0,100944,170,0,0,581,5379,4180,0,0,2314330,0,0,US
2001,4,NE,1437367,0,68002,24157,551481,0,1513,0,1407,0,0,2084250,323,0,US
2001,4,NH,263612,0,173034,9316,832051,4940,16612,0,56317,0,0,1420718,0,64836,US
2001,4,NJ,556561,0,1211,1160331,2094946,36917,66137,36356,70410,-10270,0,4012599,0,0,US
2001,4,NM,1796526,0,22618,494953,0,0,1561,0,3929,0,0,2319587,0,0,US
2001,4,NV,886510,97920,272669,689974,0,0,0,0,93433,0,0,2040506,0,0,US
2001,4,NY,1809388,0,2043385,2057134,3094645,64347,101525,9518,1602429,-88346,0,10733680,1722,37933,US
2001,4,OH,9552980,0,39981,51558,1433803,0,1008,16766,46618,0,0,11177301,0,34587,US
2001,4,OK,2298900,0,212924,1082480,0,0,0,5681,5503,-8932,0,3611899,0,15343,US
2001,4,OR,402652,0,2521355,781745,0,3323,4405,0,496,0,0,3784434,6128,64330,US
2001,4,PA,8394243,0,306704,131821,5160566,65015,103351,54288,517486,-55889,0,14727884,838,49461,US
2001,4,RI,0,0,188,436575,0,0,8578,0,5459,0,0,450800,0,0,US
2001,4,SC,2469107,0,131158,40953,3708637,1238,1428,0,34540,-88276,0,6371638,0,72853,US
2001,4,SD,326399,0,75491,42981,0,0,0,0,1990,0,0,446861,0,0,US
2001,4,TN,5198558,0,356568,21186,2483733,537,2718,1537,24468,-72962,0,8078386,0,62043,US
2001,4,TX,9767225,0,124232,14402417,2668816,116114,5764,81259,133996,0,0,27486315,115487,71005,US
2001,4,US-TOTAL,140670654,1094991,18012994,45842746,56003026,957456,1187239,697843,10863376,-795915,38759,278078871,684695,2821007,US
2001,4,UT,2458937,12972,43078,157099,0,361,479,0,4594,0,0,2677520,0,0,US
2001,4,VA,2793442,0,139279,131082,2285984,30340,45015,0,734495,-129521,0,6108458,0,78342,US
2001,4,VT,0,0,110832,240,328187,0,0,0,1115,0,0,467178,903,25901,US
2001,4,WA,602688,0,4009043,929606,751937,6219,16724,0,7201,0,0,6416576,0,93158,US
2001,4,WI,3296870,0,251702,84698,807880,12074,21549,0,29195,0,0,4564247,5266,55013,US
2001,4,WV,6185175,0,99919,9936,0,1947,2582,7619,20733,0,0,6327911,0,0,US
2001,4,WY,3327371,0,67692,41077,0,7480,0,605,1709,0,0,3459181,13247,0,US
2001,5,AK,40986,0,85130,283468,0,0,0,0,75034,0,0,484687,69,0,US
2001,5,AL,5985862,0,394587,640437,2677375,272,858,12118,31560,0,0,10048668,0,305599,US
2001,5,AR,1925929,0,159075,169725,1321506,23,661,0,45275,0,0,3690531,0,68337,US
2001,5,AZ,3614318,0,671801,1355844,2266571,0,5344,0,19675,31911,43,7965507,0,0,US
2001,5,CA,200475,960339,3045222,9698874,1667926,16194,175365,108042,271196,34607,81010,16874504,377618,237636,US
2001,5,CO,3152661,0,151592,640381,0,0,5502,0,26574,-4190,0,3975396,2876,0,US
2001,5,CT,309332,0,24767,144814,1342326,71719,72298,62,390953,0,0,2356271,0,0,US
2001,5,DC,0,0,0,0,0,0,0,0,5921,0,0,5921,0,0,US
2001,5,DE,278334,0,0,115204,0,0,0,11085,169791,0,0,574414,0,0,US
2001,5,FL,5829141,0,14158,3179750,2507996,236523,162691,116,3725702,0,0,15817681,0,161604,US
2001,5,GA,6296453,0,178565,302002,2882791,668,2239,0,97567,-57069,0,9949454,0,246238,US
2001,5,HI,140633,19538,8926,0,0,17114,28093,2754,668662,0,0,885862,142,0,US
2001,5,IA,2690607,0,36523,53396,25150,993,8889,0,11871,0,0,2875510,48081,0,US
2001,5,ID,8842,0,881697,27751,0,9267,0,0,444,0,0,970543,0,42542,US
2001,5,IL,6188853,0,11625,363131,7924871,4027,56163,29336,26704,0,0,14604710,0,0,US
2001,5,IN,9043013,0,45822,112905,0,1065,7372,250716,26816,0,0,9487708,0,0,US
2001,5,KS,2721356,0,0,98570,878063,0,0,0,59808,0,0,3757797,0,0,US
2001,5,KY,7290853,0,142603,38737,0,0,0,0,9572,0,0,7482535,0,770,US
2001,5,LA,1905980,0,83754,3582462,1553466,75949,4229,36787,185427,0,0,7624188,0,196134,US
2001,5,MA,639261,0,50364,823628,149753,65842,98035,0,649539,-61317,0,2426249,0,11144,US
2001,5,MD,2179105,0,77272,114637,938578,20732,29904,40209,229784,0,0,3631295,0,1075,US
2001,5,ME,48867,0,288948,795992,0,28767,18931,0,134073,0,0,1632885,0,317307,US
2001,5,MI,5475041,0,158814,825913,2679987,11172,49079,585,48518,-95551,0,9301148,0,147589,US
2001,5,MN,2042206,0,107214,102445,933368,27992,48364,0,31437,0,0,3413870,73454,47390,US
2001,5,MO,4959117,0,52305,247990,170080,5693,790,0,55092,-19321,0,5471746,0,0,US
2001,5,MS,1207832,0,0,1150484,769005,36,0,0,754749,0,0,3970700,0,88594,US
2001,5,MT,1153657,0,689959,1104,0,0,0,0,36079,0,0,1886942,0,6143,US
2001,5,NC,5540258,0,167510,52010,3567992,23972,6412,113,52214,0,0,9535155,0,124674,US
2001,5,ND,2213382,0,104368,246,0,0,663,5501,3879,0,0,2328039,0,0,US
2001,5,NE,1468257,0,90574,25334,905925,0,1810,0,4366,0,0,2496560,294,0,US
2001,5,NH,126709,0,133160,8080,839779,5045,15695,0,64366,0,0,1263395,0,70561,US
2001,5,NJ,820127,0,1259,1217469,1900361,41209,72940,33262,85496,-12217,0,4159906,0,0,US
2001,5,NM,2601279,0,26614,489809,0,0,1451,0,9922,0,0,3129075,0,0,US
2001,5,NV,1496121,91632,258328,865921,0,0,0,0,93569,0,0,2805571,0,0,US
2001,5,NY,1689967,0,2052920,3070837,2676392,68799,107442,9733,1486894,-82237,0,11131989,1641,49601,US
2001,5,OH,9658378,0,45003,78420,800749,0,2118,24056,51806,0,0,10691804,0,31274,US
2001,5,OK,2963820,0,140015,1224905,0,0,0,5680,4691,-13249,0,4345641,0,19779,US
2001,5,OR,233404,0,2865149,763549,0,3393,4498,0,170,0,0,3927825,5782,51880,US
2001,5,PA,8431978,0,119335,164916,6426569,67156,108419,57661,263069,-43171,0,15648293,891,51470,US
2001,5,RI,0,0,275,644422,0,0,8928,0,4650,0,0,658275,0,0,US
2001,5,SC,3079565,0,87304,40567,3976320,1575,2088,0,19836,-96599,0,7188933,0,78277,US
2001,5,SD,249626,0,103366,45145,0,0,0,0,3842,0,0,401979,0,0,US
2001,5,TN,5148028,0,278539,31719,2546530,786,3473,1572,49475,-62014,0,8066658,0,68550,US
2001,5,TX,11449397,0,115102,16025878,3419870,117563,7508,148259,117381,0,0,31583459,103312,79189,US
2001,5,US-TOTAL,151592914,1071380,19175635,50934205,61512445,986268,1210741,784555,10389988,-622526,81053,300491621,635029,2739933,US
2001,5,UT,2810777,-129,80173,153429,0,405,536,0,4930,0,0,3050121,0,0,US
2001,5,VA,2805149,0,99059,115207,2314958,35910,51862,0,221921,-142109,0,5592002,0,90045,US
2001,5,VT,0,0,91361,5210,129478,0,0,0,1523,0,0,254425,976,25877,US
2001,5,WA,403188,0,4509647,888715,389614,5512,14126,0,2787,0,0,6287775,0,74186,US
2001,5,WI,3213250,0,247456,103084,929096,11337,23467,0,33265,0,0,4611303,3880,46468,US
2001,5,WV,6591531,0,95635,14440,0,1885,2498,6055,17978,0,0,6730022,0,0,US
2001,5,WY,3270010,0,102760,35249,0,7673,0,853,4138,0,0,3436696,16013,0,US
2001,6,AK,39411,0,118354,272074,0,0,0,0,58095,0,0,488004,70,0,US
2001,6,AL,6437715,0,696015,921835,2725271,774,1609,17348,18973,0,0,11170299,0,350759,US
2001,6,AR,2330786,0,256366,142681,1285171,0,690,0,29903,0,0,4132866,0,87269,US
2001,6,AZ,3443204,0,690906,1270426,2723830,0,4264,0,7477,34095,57,8174259,0,0,US
2001,6,CA,215798,960209,3053895,9350107,3100798,18235,177255,99957,225416,24596,91086,18071777,438403,316022,US
2001,6,CO,3049285,0,175294,692832,0,0,5059,0,10393,-27187,0,3907473,1797,0,US
2001,6,CT,330648,0,40871,260482,1441469,66948,71164,156,449051,0,0,2660789,0,0,US
2001,6,DC,0,0,0,0,0,0,0,0,488,0,0,488,0,0,US
2001,6,DE,254680,0,0,154285,0,0,0,12935,137224,0,0,559124,0,0,US
2001,6,FL,6198990,0,12829,4095534,2840206,239919,164402,116,4379783,0,0,18087619,0,155840,US
2001,6,GA,6728163,0,274252,475637,2927555,686,2676,0,90180,-59584,0,10686690,0,247125,US
2001,6,HI,136812,18505,7376,0,0,18845,30240,2329,659671,0,0,873879,101,0,US
2001,6,IA,2788555,0,65670,53764,334683,904,8895,0,6646,0,0,3294522,35405,0,US
2001,6,ID,8610,0,771674,29712,0,2636,0,0,25,0,0,860574,0,47917,US
2001,6,IL,6795568,0,11554,371587,7900494,3745,59745,31294,236741,0,0,15410728,0,0,US
2001,6,IN,9999260,0,57682,221852,0,1388,9606,266022,37036,0,0,10592846,0,0,US
2001,6,KS,2823839,0,1085,157340,853966,0,0,0,62222,0,0,3898452,0,0,US
2001,6,KY,7857280,0,549853,47009,0,0,0,0,11066,0,0,8466026,0,818,US
2001,6,LA,1903011,0,109438,3724543,1462821,71415,4750,37455,281297,0,0,7787179,0,192449,US
2001,6,MA,897062,0,73612,1051595,455358,66875,102289,0,709251,-66437,0,3299909,0,10304,US
